"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";159;167;95;"SIM";95;"ALCANÇOU"
"RO";110002;"Ariquemes";665;621;107;"SIM";107;"ALCANÇOU"
"RO";110003;"Cabixi";25;33;76;"NÃO";76;"NÃO ALCANÇOU"
"RO";110004;"Cacoal";572;573;100;"SIM";100;"ALCANÇOU"
"RO";110005;"Cerejeiras";127;99;128;"SIM";128;"ALCANÇOU"
"RO";110006;"Colorado do Oeste";107;88;122;"SIM";122;"ALCANÇOU"
"RO";110007;"Corumbiara";45;43;105;"SIM";105;"ALCANÇOU"
"RO";110008;"Costa Marques";53;60;88;"NÃO";88;"NÃO ALCANÇOU"
"RO";110009;"Espigão D'Oeste";197;158;125;"SIM";125;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";249;228;109;"SIM";109;"ALCANÇOU"
"RO";110011;"Jaru";348;312;112;"SIM";112;"ALCANÇOU"
"RO";110012;"Ji-Paraná";902;616;146;"SIM";146;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";197;148;133;"SIM";133;"ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";118;111;106;"SIM";106;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";309;227;136;"SIM";136;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";215;200;108;"SIM";108;"ALCANÇOU"
"RO";110020;"Porto Velho";2803;2770;101;"SIM";101;"ALCANÇOU"
"RO";110025;"Presidente Médici";136;142;96;"SIM";96;"ALCANÇOU"
"RO";110026;"Rio Crespo";14;12;117;"SIM";117;"ALCANÇOU"
"RO";110028;"Rolim de Moura";423;286;148;"SIM";148;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";46;50;92;"SIM";92;"ALCANÇOU"
"RO";110030;"Vilhena";636;558;114;"SIM";114;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";125;112;112;"SIM";112;"ALCANÇOU"
"RO";110033;"Nova Mamoré";144;126;114;"SIM";114;"ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";111;93;119;"SIM";119;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";61;75;81;"NÃO";81;"NÃO ALCANÇOU"
