"UF";"cod_mun";"NUM_2025.a";"DEN_2025.a";"NUM_2025";"DEN_2025";"RES_2025";"Alcançou a meta?";"RES";"METAS"
"RO";110001;32;39;2,66666666666667;3,25;0,82051282051282;"Sim";82,1;"ALCANÇOU"
"RO";110002;154;156;12,8333333333333;13;0,987179487179487;"Sim";98,7;"ALCANÇOU"
"RO";110003;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110004;153;156;12,75;13;0,980769230769231;"Sim";98,1;"ALCANÇOU"
"RO";110005;31;34;2,58333333333333;2,83333333333333;0,911764705882353;"Sim";91,2;"ALCANÇOU"
"RO";110006;31;39;2,58333333333333;3,25;0,794871794871795;"Não";79,5;"ALCANÇOU"
"RO";110007;12;14;1;1,16666666666667;0,857142857142857;"Sim";85,7;"ALCANÇOU"
"RO";110008;19;25;1,58333333333333;2,08333333333333;0,76;"Não";76;"NÃO ALCANÇOU"
"RO";110009;9;9;0,75;0,75;1;"Sim";100;"ALCANÇOU"
"RO";110010;74;113;6,16666666666667;9,41666666666667;0,654867256637168;"Não";65,5;"NÃO ALCANÇOU"
"RO";110011;115;119;9,58333333333333;9,91666666666667;0,966386554621849;"Sim";96,6;"ALCANÇOU"
"RO";110012;178;179;14,8333333333333;14,9166666666667;0,994413407821229;"Sim";99,4;"ALCANÇOU"
"RO";110013;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"RO";110014;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"RO";110015;54;63;4,5;5,25;0,857142857142857;"Sim";85,7;"ALCANÇOU"
"RO";110018;48;48;4;4;1;"Sim";100;"ALCANÇOU"
"RO";110020;419;466;34,9166666666667;38,8333333333333;0,899141630901288;"Sim";89,9;"ALCANÇOU"
"RO";110025;91;120;7,58333333333333;10;0,758333333333333;"Não";75,8;"NÃO ALCANÇOU"
"RO";110026;10;10;0,833333333333333;0,833333333333333;1;"Sim";100;"ALCANÇOU"
"RO";110028;84;84;7;7;1;"Sim";100;"ALCANÇOU"
"RO";110029;18;18;1,5;1,5;1;"Sim";100;"ALCANÇOU"
"RO";110030;120;120;10;10;1;"Sim";100;"ALCANÇOU"
"RO";110032;13;26;1,08333333333333;2,16666666666667;0,5;"Não";50;"NÃO ALCANÇOU"
"RO";110033;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"RO";110034;10;20;0,833333333333333;1,66666666666667;0,5;"Não";50;"NÃO ALCANÇOU"
"RO";110037;12;15;1;1,25;0,8;"Sim";80;"ALCANÇOU"
"RO";110040;8;8;0,666666666666667;0,666666666666667;1;"Sim";100;"ALCANÇOU"
"RO";110045;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110050;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110060;35;36;2,91666666666667;3;0,972222222222222;"Sim";97,2;"ALCANÇOU"
"RO";110070;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110080;32;46;2,66666666666667;3,83333333333333;0,695652173913043;"Não";69,6;"NÃO ALCANÇOU"
"RO";110090;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110092;39;56;3,25;4,66666666666667;0,696428571428571;"Não";69,6;"NÃO ALCANÇOU"
"RO";110094;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110100;18;19;1,5;1,58333333333333;0,947368421052632;"Sim";94,7;"ALCANÇOU"
"RO";110110;11;12;0,916666666666667;1;0,916666666666667;"Sim";91,7;"ALCANÇOU"
"RO";110120;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110130;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110140;12;18;1;1,5;0,666666666666667;"Não";66,7;"NÃO ALCANÇOU"
"RO";110143;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110145;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110146;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110147;9;9;0,75;0,75;1;"Sim";100;"ALCANÇOU"
"RO";110148;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110149;13;13;1,08333333333333;1,08333333333333;1;"Sim";100;"ALCANÇOU"
"RO";110150;10;10;0,833333333333333;0,833333333333333;1;"Sim";100;"ALCANÇOU"
"RO";110155;5;5;0,416666666666667;0,416666666666667;1;"Sim";100;"ALCANÇOU"
"RO";110160;23;30;1,91666666666667;2,5;0,766666666666667;"Não";76,7;"NÃO ALCANÇOU"
"RO";110170;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"RO";110175;12;18;1;1,5;0,666666666666667;"Não";66,7;"NÃO ALCANÇOU"
"RO";110180;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"AC";120001;70;84;5,83333333333333;7;0,833333333333333;"Sim";83,3;"ALCANÇOU"
"AC";120005;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"AC";120010;108;108;9;9;1;"Sim";100;"ALCANÇOU"
"AC";120013;48;52;4;4,33333333333333;0,923076923076923;"Sim";92,3;"ALCANÇOU"
"AC";120017;58;60;4,83333333333333;5;0,966666666666667;"Sim";96,7;"ALCANÇOU"
"AC";120020;349;364;29,0833333333333;30,3333333333333;0,958791208791209;"Sim";95,9;"ALCANÇOU"
"AC";120025;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"AC";120030;107;120;8,91666666666667;10;0,891666666666667;"Sim";89,2;"ALCANÇOU"
"AC";120032;12;16;1;1,33333333333333;0,75;"Não";75;"NÃO ALCANÇOU"
"AC";120033;107;120;8,91666666666667;10;0,891666666666667;"Sim";89,2;"ALCANÇOU"
"AC";120034;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"AC";120035;59;60;4,91666666666667;5;0,983333333333333;"Sim";98,3;"ALCANÇOU"
"AC";120038;63;64;5,25;5,33333333333333;0,984375;"Sim";98,4;"ALCANÇOU"
"AC";120039;38;51;3,16666666666667;4,25;0,745098039215686;"Não";74,5;"NÃO ALCANÇOU"
"AC";120040;616;720;51,3333333333333;60;0,855555555555556;"Sim";85,6;"ALCANÇOU"
