"Região";"UF";"COD_MUN";"Município";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"Norte";"RO";110001;"Alta Floresta D'Oeste";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110002;"Ariquemes";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"RO";110003;"Cabixi";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110004;"Cacoal";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"RO";110005;"Cerejeiras";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110006;"Colorado do Oeste";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"RO";110007;"Corumbiara";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110008;"Costa Marques";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110009;"Espigão D'Oeste";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RO";110010;"Guajará-Mirim";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110011;"Jaru";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110012;"Ji-Paraná";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RO";110013;"Machadinho D'Oeste";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RO";110014;"Nova Brasilândia D'Oeste";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110015;"Ouro Preto do Oeste";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110018;"Pimenta Bueno";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110020;"Porto Velho";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110025;"Presidente Médici";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"RO";110026;"Rio Crespo";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RO";110028;"Rolim de Moura";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RO";110029;"Santa Luzia D'Oeste";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110030;"Vilhena";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"RO";110032;"São Miguel do Guaporé";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110033;"Nova Mamoré";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110034;"Alvorada D'Oeste";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RO";110037;"Alto Alegre dos Parecis";4;4;1;100;"ALCANÇOU"
"Norte";"RO";110040;"Alto Paraíso";4;4;1;100;"ALCANÇOU"
