"UF";"IBGE";"Município";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";;1;1;100;100;"ALCANÇOU"
"RO";110002;"Ariquemes";;1;1;100;100;"ALCANÇOU"
"RO";110003;"Cabixi";;1;1;100;100;"ALCANÇOU"
"RO";110004;"Cacoal";;8;8;100;100;"ALCANÇOU"
"RO";110005;"Cerejeiras";;5;5;100;100;"ALCANÇOU"
"RO";110006;"Colorado do Oeste";;10;10;100;100;"ALCANÇOU"
"RO";110007;"Corumbiara";;2;2;100;100;"ALCANÇOU"
"RO";110008;"Costa Marques";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110009;"Espigão D'Oeste";;1;1;100;100;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";;4;4;100;100;"ALCANÇOU"
"RO";110011;"Jaru";;5;5;100;100;"ALCANÇOU"
"RO";110012;"Ji-Paraná";;5;6;83,3333333333333;83,3;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110018;"Pimenta Bueno";;3;3;100;100;"ALCANÇOU"
"RO";110020;"Porto Velho";;44;46;95,6521739130435;95,7;"ALCANÇOU"
"RO";110025;"Presidente Médici";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110026;"Rio Crespo";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";;1;1;100;100;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110030;"Vilhena";;5;5;100;100;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110033;"Nova Mamoré";;6;6;100;100;"ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110040;"Alto Paraíso";;1;1;100;100;"ALCANÇOU"
"RO";110045;"Buritis";;1;1;100;100;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110060;"Cacaulândia";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110080;"Candeias do Jamari";;3;3;100;100;"ALCANÇOU"
"RO";110090;"Castanheiras";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110092;"Chupinguaia";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110094;"Cujubim";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110110;"Itapuã do Oeste";"X";0;0;;;"NÃO ALCANÇOU"
"RO";110120;"Ministro Andreazza";"X";0;0;;;"NÃO ALCANÇOU"
