"UF";"COD_MUN";"NOME_MUN";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"Alcançou a meta?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";;0;2;0;"Não";0;"NÃO ALCANÇOU"
"RO";110002;"Ariquemes";;297;388;76,55;"Sim";76,6;"ALCANÇOU"
"RO";110003;"Cabixi";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110004;"Cacoal";;67;105;63,81;"Não";63,8;"NÃO ALCANÇOU"
"RO";110005;"Cerejeiras";;1;5;20;"Não";20;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";;0;1;0;"Não";0;"NÃO ALCANÇOU"
"RO";110007;"Corumbiara";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110008;"Costa Marques";;5;7;71,43;"Sim";71,4;"ALCANÇOU"
"RO";110009;"Espigão D'Oeste";;15;21;71,43;"Sim";71,4;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";;446;609;73,23;"Sim";73,2;"ALCANÇOU"
"RO";110011;"Jaru";;15;28;53,57;"Não";53,6;"NÃO ALCANÇOU"
"RO";110012;"Ji-Paraná";;8;24;33,33;"Não";33,3;"NÃO ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";;92;236;38,98;"Não";39;"NÃO ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";;5;5;100;"Sim";100;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";;5;12;41,67;"Não";41,7;"NÃO ALCANÇOU"
"RO";110018;"Pimenta Bueno";;4;5;80;"Sim";80;"ALCANÇOU"
"RO";110020;"Porto Velho";;2029;5094;39,83;"Não";39,8;"NÃO ALCANÇOU"
"RO";110025;"Presidente Médici";;1;2;50;"Não";50;"NÃO ALCANÇOU"
"RO";110026;"Rio Crespo";;16;33;48,48;"Não";48,5;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";;3;6;50;"Não";50;"NÃO ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110030;"Vilhena";;11;28;39,29;"Não";39,3;"NÃO ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";;2;3;66,67;"Não";66,7;"NÃO ALCANÇOU"
"RO";110033;"Nova Mamoré";;91;155;58,71;"Não";58,7;"NÃO ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";;1;1;100;"Sim";100;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";;2;5;40;"Não";40;"NÃO ALCANÇOU"
"RO";110040;"Alto Paraíso";;138;141;97,87;"Sim";97,9;"ALCANÇOU"
"RO";110045;"Buritis";;18;38;47,37;"Não";47,4;"NÃO ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110060;"Cacaulândia";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";;15;30;50;"Não";50;"NÃO ALCANÇOU"
"RO";110080;"Candeias do Jamari";;328;669;49,03;"Não";49;"NÃO ALCANÇOU"
"RO";110090;"Castanheiras";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110092;"Chupinguaia";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110094;"Cujubim";;322;530;60,75;"Não";60,8;"NÃO ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";;2;3;66,67;"Não";66,7;"NÃO ALCANÇOU"
"RO";110110;"Itapuã do Oeste";;54;118;45,76;"Não";45,8;"NÃO ALCANÇOU"
"RO";110120;"Ministro Andreazza";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110130;"Mirante da Serra";;0;1;0;"Não";0;"NÃO ALCANÇOU"
"RO";110140;"Monte Negro";;7;15;46,67;"Não";46,7;"NÃO ALCANÇOU"
"RO";110143;"Nova União";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110145;"Parecis";;2;4;50;"Não";50;"NÃO ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";;1;1;100;"Sim";100;"ALCANÇOU"
"RO";110147;"Primavera de Rondônia";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110148;"São Felipe D'Oeste";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110149;"São Francisco do Guaporé";;4;10;40;"Não";40;"NÃO ALCANÇOU"
"RO";110150;"Seringueiras";;1;4;25;"Não";25;"NÃO ALCANÇOU"
"RO";110155;"Teixeirópolis";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"RO";110160;"Theobroma";;3;5;60;"Não";60;"NÃO ALCANÇOU"
"RO";110170;"Urupá";;2;3;66,67;"Não";66,7;"NÃO ALCANÇOU"
"RO";110175;"Vale do Anari";;7;12;58,33;"Não";58,3;"NÃO ALCANÇOU"
"RO";110180;"Vale do Paraíso";;0;3;0;"Não";0;"NÃO ALCANÇOU"
"AC";120001;"Acrelândia";;49;50;98;"Sim";98;"ALCANÇOU"
"AC";120005;"Assis Brasil";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"AC";120010;"Brasiléia";;1;1;100;"Sim";100;"ALCANÇOU"
"AC";120013;"Bujari";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"AC";120017;"Capixaba";;1;4;25;"Não";25;"NÃO ALCANÇOU"
"AC";120020;"Cruzeiro do Sul";;1555;2463;63,13;"Não";63,1;"NÃO ALCANÇOU"
"AC";120025;"Epitaciolândia";"Sim";0;0;0;"Não";0;"NÃO ALCANÇOU"
"AC";120030;"Feijó";;0;2;0;"Não";0;"NÃO ALCANÇOU"
