"UF";"COD_MUN";"NOME_MUN";"*Ausência de Óbitos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"AC";"120001";"Acrelândia";"X";;;;;"NÃO ALCANÇOU"
"AC";"120005";"Assis Brasil";"X";;;;;"NÃO ALCANÇOU"
"AC";"120010";"Brasiléia";"X";;;;;"NÃO ALCANÇOU"
"AC";"120013";"Bujari";"X";;;;;"NÃO ALCANÇOU"
"AC";"120017";"Capixaba";"X";;;;;"NÃO ALCANÇOU"
"AC";"120020";"Cruzeiro do Sul";;3;5;60;60;"NÃO ALCANÇOU"
"AC";"120025";"Epitaciolândia";"X";;;;;"NÃO ALCANÇOU"
"AC";"120030";"Feijó";"X";;;;;"NÃO ALCANÇOU"
"AC";"120032";"Jordão";"X";;;;;"NÃO ALCANÇOU"
"AC";"120033";"Mâncio Lima";;1;1;100;100;"ALCANÇOU"
"AC";"120034";"Manoel Urbano";"X";;;;;"NÃO ALCANÇOU"
"AC";"120035";"Marechal Thaumaturgo";;0;1;0;0;"NÃO ALCANÇOU"
"AC";"120038";"Plácido de Castro";"X";;;;;"NÃO ALCANÇOU"
"AC";"120039";"Porto Walter";"X";;;;;"NÃO ALCANÇOU"
"AC";"120040";"Rio Branco";;3;3;100;100;"ALCANÇOU"
"AC";"120042";"Rodrigues Alves";"X";;;;;"NÃO ALCANÇOU"
"AC";"120043";"Santa Rosa do Purus";"X";;;;;"NÃO ALCANÇOU"
"AC";"120045";"Senador Guiomard";"X";;;;;"NÃO ALCANÇOU"
"AC";"120050";"Sena Madureira";"X";;;;;"NÃO ALCANÇOU"
"AC";"120060";"Tarauacá";;2;2;100;100;"ALCANÇOU"
"AC";"120070";"Xapuri";"X";;;;;"NÃO ALCANÇOU"
"AC";"120080";"Porto Acre";"X";;;;;"NÃO ALCANÇOU"
"AL";"270010";"Água Branca";"X";;;;;"NÃO ALCANÇOU"
"AL";"270020";"Anadia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270030";"Arapiraca";;3;3;100;100;"ALCANÇOU"
"AL";"270040";"Atalaia";;0;1;0;0;"NÃO ALCANÇOU"
"AL";"270050";"Barra de Santo Antônio";"X";;;;;"NÃO ALCANÇOU"
"AL";"270060";"Barra de São Miguel";"X";;;;;"NÃO ALCANÇOU"
"AL";"270070";"Batalha";"X";;;;;"NÃO ALCANÇOU"
"AL";"270080";"Belém";"X";;;;;"NÃO ALCANÇOU"
"AL";"270090";"Belo Monte";"X";;;;;"NÃO ALCANÇOU"
"AL";"270100";"Boca da Mata";"X";;;;;"NÃO ALCANÇOU"
"AL";"270110";"Branquinha";"X";;;;;"NÃO ALCANÇOU"
"AL";"270120";"Cacimbinhas";"X";;;;;"NÃO ALCANÇOU"
"AL";"270130";"Cajueiro";"X";;;;;"NÃO ALCANÇOU"
"AL";"270135";"Campestre";"X";;;;;"NÃO ALCANÇOU"
"AL";"270140";"Campo Alegre";"X";;;;;"NÃO ALCANÇOU"
"AL";"270150";"Campo Grande";"X";;;;;"NÃO ALCANÇOU"
"AL";"270160";"Canapi";"X";;;;;"NÃO ALCANÇOU"
"AL";"270170";"Capela";"X";;;;;"NÃO ALCANÇOU"
"AL";"270180";"Carneiros";"X";;;;;"NÃO ALCANÇOU"
"AL";"270190";"Chã Preta";"X";;;;;"NÃO ALCANÇOU"
"AL";"270200";"Coité do Nóia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270210";"Colônia Leopoldina";"X";;;;;"NÃO ALCANÇOU"
"AL";"270220";"Coqueiro Seco";"X";;;;;"NÃO ALCANÇOU"
"AL";"270230";"Coruripe";"X";;;;;"NÃO ALCANÇOU"
"AL";"270235";"Craíbas";"X";;;;;"NÃO ALCANÇOU"
"AL";"270240";"Delmiro Gouveia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270250";"Dois Riachos";"X";;;;;"NÃO ALCANÇOU"
"AL";"270255";"Estrela de Alagoas";"X";;;;;"NÃO ALCANÇOU"
"AL";"270260";"Feira Grande";"X";;;;;"NÃO ALCANÇOU"
"AL";"270270";"Feliz Deserto";"X";;;;;"NÃO ALCANÇOU"
"AL";"270280";"Flexeiras";"X";;;;;"NÃO ALCANÇOU"
"AL";"270290";"Girau do Ponciano";"X";;;;;"NÃO ALCANÇOU"
"AL";"270300";"Ibateguara";"X";;;;;"NÃO ALCANÇOU"
"AL";"270310";"Igaci";"X";;;;;"NÃO ALCANÇOU"
"AL";"270320";"Igreja Nova";"X";;;;;"NÃO ALCANÇOU"
"AL";"270330";"Inhapi";"X";;;;;"NÃO ALCANÇOU"
"AL";"270340";"Jacaré dos Homens";"X";;;;;"NÃO ALCANÇOU"
"AL";"270350";"Jacuípe";"X";;;;;"NÃO ALCANÇOU"
"AL";"270360";"Japaratinga";"X";;;;;"NÃO ALCANÇOU"
"AL";"270370";"Jaramataia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270375";"Jequiá da Praia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270380";"Joaquim Gomes";"X";;;;;"NÃO ALCANÇOU"
"AL";"270390";"Jundiá";"X";;;;;"NÃO ALCANÇOU"
"AL";"270400";"Junqueiro";"X";;;;;"NÃO ALCANÇOU"
"AL";"270410";"Lagoa da Canoa";"X";;;;;"NÃO ALCANÇOU"
"AL";"270420";"Limoeiro de Anadia";"X";;;;;"NÃO ALCANÇOU"
"AL";"270430";"Maceió";;26;26;100;100;"ALCANÇOU"
"AL";"270440";"Major Isidoro";"X";;;;;"NÃO ALCANÇOU"
"AL";"270450";"Maragogi";;1;1;100;100;"ALCANÇOU"
"AL";"270460";"Maravilha";"X";;;;;"NÃO ALCANÇOU"
"AL";"270470";"Marechal Deodoro";;1;1;100;100;"ALCANÇOU"
"AL";"270480";"Maribondo";"X";;;;;"NÃO ALCANÇOU"
"AL";"270490";"Mar Vermelho";"X";;;;;"NÃO ALCANÇOU"
"AL";"270500";"Mata Grande";"X";;;;;"NÃO ALCANÇOU"
"AL";"270510";"Matriz de Camaragibe";"X";;;;;"NÃO ALCANÇOU"
"AL";"270520";"Messias";"X";;;;;"NÃO ALCANÇOU"
"AL";"270530";"Minador do Negrão";"X";;;;;"NÃO ALCANÇOU"
"AL";"270540";"Monteirópolis";"X";;;;;"NÃO ALCANÇOU"
"AL";"270550";"Murici";;1;1;100;100;"ALCANÇOU"
"AL";"270560";"Novo Lino";"X";;;;;"NÃO ALCANÇOU"
"AL";"270570";"Olho d'Água das Flores";"X";;;;;"NÃO ALCANÇOU"
"AL";"270580";"Olho d'Água do Casado";"X";;;;;"NÃO ALCANÇOU"
"AL";"270590";"Olho d'Água Grande";"X";;;;;"NÃO ALCANÇOU"
"AL";"270600";"Olivença";"X";;;;;"NÃO ALCANÇOU"
"AL";"270610";"Ouro Branco";"X";;;;;"NÃO ALCANÇOU"
"AL";"270620";"Palestina";;1;1;100;100;"ALCANÇOU"
"AL";"270630";"Palmeira dos Índios";"X";;;;;"NÃO ALCANÇOU"
"AL";"270640";"Pão de Açúcar";"X";;;;;"NÃO ALCANÇOU"
"AL";"270642";"Pariconha";"X";;;;;"NÃO ALCANÇOU"
"AL";"270644";"Paripueira";"X";;;;;"NÃO ALCANÇOU"
"AL";"270650";"Passo de Camaragibe";"X";;;;;"NÃO ALCANÇOU"
"AL";"270660";"Paulo Jacinto";"X";;;;;"NÃO ALCANÇOU"
"AL";"270670";"Penedo";"X";;;;;"NÃO ALCANÇOU"
"AL";"270680";"Piaçabuçu";"X";;;;;"NÃO ALCANÇOU"
"AL";"270690";"Pilar";"X";;;;;"NÃO ALCANÇOU"
"AL";"270700";"Pindoba";"X";;;;;"NÃO ALCANÇOU"
"AL";"270710";"Piranhas";"X";;;;;"NÃO ALCANÇOU"
"AL";"270720";"Poço das Trincheiras";"X";;;;;"NÃO ALCANÇOU"
"AL";"270730";"Porto Calvo";;1;1;100;100;"ALCANÇOU"
"AL";"270740";"Porto de Pedras";"X";;;;;"NÃO ALCANÇOU"
"AL";"270750";"Porto Real do Colégio";"X";;;;;"NÃO ALCANÇOU"
"AL";"270760";"Quebrangulo";"X";;;;;"NÃO ALCANÇOU"
"AL";"270770";"Rio Largo";;1;1;100;100;"ALCANÇOU"
"AL";"270780";"Roteiro";"X";;;;;"NÃO ALCANÇOU"
