"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";;0;5;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110002;"Ariquemes";;63;80;78,75;"SIM";78,8;"ALCANÇOU"
"RO";110003;"Cabixi";;4;4;100;"SIM";100;"ALCANÇOU"
"RO";110004;"Cacoal";;18;31;58,0645161290323;"NÃO";58,1;"NÃO ALCANÇOU"
"RO";110005;"Cerejeiras";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";;1;1;100;"SIM";100;"ALCANÇOU"
"RO";110007;"Corumbiara";;1;1;100;"SIM";100;"ALCANÇOU"
"RO";110008;"Costa Marques";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110009;"Espigão D'Oeste";;9;15;60;"NÃO";60;"NÃO ALCANÇOU"
"RO";110010;"Guajará-Mirim";;31;45;68,8888888888889;"NÃO";68,9;"NÃO ALCANÇOU"
"RO";110011;"Jaru";;5;13;38,4615384615385;"NÃO";38,5;"NÃO ALCANÇOU"
"RO";110012;"Ji-Paraná";;38;57;66,6666666666667;"NÃO";66,7;"NÃO ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";;3;11;27,2727272727273;"NÃO";27,3;"NÃO ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";;2;2;100;"SIM";100;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110020;"Porto Velho";;44;869;5,06329113924051;"NÃO";5,1;"NÃO ALCANÇOU"
"RO";110025;"Presidente Médici";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110026;"Rio Crespo";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";;8;20;40;"NÃO";40;"NÃO ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110030;"Vilhena";;24;47;51,063829787234;"NÃO";51,1;"NÃO ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110033;"Nova Mamoré";;20;31;64,5161290322581;"NÃO";64,5;"NÃO ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";;0;2;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";;0;1;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110040;"Alto Paraíso";;1;3;33,3333333333333;"NÃO";33,3;"NÃO ALCANÇOU"
"RO";110045;"Buritis";;2;3;66,6666666666667;"NÃO";66,7;"NÃO ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110060;"Cacaulândia";;2;2;100;"SIM";100;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";;2;2;100;"SIM";100;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";;2;21;9,52380952380952;"NÃO";9,5;"NÃO ALCANÇOU"
"RO";110090;"Castanheiras";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110092;"Chupinguaia";;12;12;100;"SIM";100;"ALCANÇOU"
"RO";110094;"Cujubim";;2;6;33,3333333333333;"NÃO";33,3;"NÃO ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110110;"Itapuã do Oeste";;0;2;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110120;"Ministro Andreazza";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"RO";110130;"Mirante da Serra";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"RO";110140;"Monte Negro";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
