"UF";"COD_MUN";"NOME_MUN";"RES_2024";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";0;0;8;0;"Sim";0;"ALCANÇOU"
"RO";110002;"Ariquemes";5,95238095238095;9;71;12,6760563380282;"Não";6,7;"NÃO ALCANÇOU"
"RO";110003;"Cabixi";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110004;"Cacoal";0;0;58;0;"Sim";0;"ALCANÇOU"
"RO";110005;"Cerejeiras";0;1;18;5,55555555555556;"Não";5,6;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";0;0;6;0;"Sim";0;"ALCANÇOU"
"RO";110007;"Corumbiara";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110008;"Costa Marques";8,33333333333333;0;9;0;"Sim";-8,3;"ALCANÇOU"
"RO";110009;"Espigão D'Oeste";23,0769230769231;1;5;20;"Sim";-3,1;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";15,7894736842105;2;22;9,09090909090909;"Sim";-6,7;"ALCANÇOU"
"RO";110011;"Jaru";3,44827586206897;0;18;0;"Sim";-3,4;"ALCANÇOU"
"RO";110012;"Ji-Paraná";0;2;55;3,63636363636364;"Não";3,6;"NÃO ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";12,5;2;15;13,3333333333333;"Não";0,8;"NÃO ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";0;0;19;0;"Sim";0;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110020;"Porto Velho";6,94864048338369;21;337;6,23145400593472;"Não";-0,72;"NÃO ALCANÇOU"
"RO";110025;"Presidente Médici";14,2857142857143;0;7;0;"Sim";-14,3;"ALCANÇOU"
"RO";110026;"Rio Crespo";0;1;1;100;"Não";100;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";0;0;21;0;"Sim";0;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110030;"Vilhena";2,63157894736842;0;83;0;"Sim";-2,6;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";0;0;7;0;"Sim";0;"ALCANÇOU"
"RO";110033;"Nova Mamoré";11,7647058823529;1;6;16,6666666666667;"Não";4,9;"NÃO ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";0;0;1;0;"Sim";0;"ALCANÇOU"
"RO";110040;"Alto Paraíso";0;0;4;0;"Sim";0;"ALCANÇOU"
"RO";110045;"Buritis";4;1;20;5;"Não";1;"NÃO ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110060;"Cacaulândia";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";0;0;5;0;"Sim";0;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";0;2;18;11,1111111111111;"Não";11,1;"NÃO ALCANÇOU"
"RO";110090;"Castanheiras";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110092;"Chupinguaia";0;0;13;0;"Sim";0;"ALCANÇOU"
"RO";110094;"Cujubim";0;1;12;8,33333333333333;"Não";8,3;"NÃO ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";0;1;2;50;"Não";50;"NÃO ALCANÇOU"
"RO";110110;"Itapuã do Oeste";0;1;5;20;"Não";20;"NÃO ALCANÇOU"
"RO";110120;"Ministro Andreazza";0;1;2;50;"Não";50;"NÃO ALCANÇOU"
"RO";110130;"Mirante da Serra";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110140;"Monte Negro";0;0;7;0;"Sim";0;"ALCANÇOU"
"RO";110143;"Nova União";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110145;"Parecis";0;1;0;0;"Sim";0;"ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110147;"Primavera de Rondônia";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110148;"São Felipe D'Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110149;"São Francisco do Guaporé";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110150;"Seringueiras";0;0;4;0;"Sim";0;"ALCANÇOU"
"RO";110155;"Teixeirópolis";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110160;"Theobroma";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110170;"Urupá";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110175;"Vale do Anari";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110180;"Vale do Paraíso";0;0;1;0;"Sim";0;"ALCANÇOU"
"AC";120001;"Acrelândia";0;1;5;20;"Não";20;"NÃO ALCANÇOU"
"AC";120005;"Assis Brasil";133,333333333333;1;2;50;"Sim";-83,3;"ALCANÇOU"
"AC";120010;"Brasiléia";9,09090909090909;1;18;5,55555555555556;"Sim";-3,5;"ALCANÇOU"
"AC";120013;"Bujari";25;5;12;41,6666666666667;"Não";16,7;"NÃO ALCANÇOU"
"AC";120017;"Capixaba";0;2;2;100;"Não";100;"NÃO ALCANÇOU"
"AC";120020;"Cruzeiro do Sul";0;2;40;5;"Não";5;"NÃO ALCANÇOU"
"AC";120025;"Epitaciolândia";0;1;3;33,3333333333333;"Não";33,3;"NÃO ALCANÇOU"
"AC";120030;"Feijó";13,0434782608696;3;34;8,82352941176471;"Sim";-4,2;"ALCANÇOU"
"AC";120032;"Jordão";0;0;3;0;"Sim";0;"ALCANÇOU"
"AC";120033;"Mâncio Lima";16,6666666666667;0;5;0;"Sim";-16,7;"ALCANÇOU"
"AC";120034;"Manoel Urbano";0;0;3;0;"Sim";0;"ALCANÇOU"
"AC";120035;"Marechal Thaumaturgo";0;0;2;0;"Sim";0;"ALCANÇOU"
