"UF";"COD_MUN";"NOME_MUN";"Ausencia_de_Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"RO";110001;"Alta Floresta DOeste";;68;68;100;100;"ALCANÇOU"
"RO";110002;"Ariquemes";;228;228;100;100;"ALCANÇOU"
"RO";110003;"Cabixi";;6;6;100;100;"ALCANÇOU"
"RO";110004;"Cacoal";;177;177;100;100;"ALCANÇOU"
"RO";110005;"Cerejeiras";;14;14;100;100;"ALCANÇOU"
"RO";110006;"Colorado do Oeste";;20;20;100;100;"ALCANÇOU"
"RO";110007;"Corumbiara";;3;3;100;100;"ALCANÇOU"
"RO";110008;"Costa Marques";;33;33;100;100;"ALCANÇOU"
"RO";110009;"Espigão DOeste";;8;8;100;100;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";;87;117;74,3589743589744;74,4;"NÃO ALCANÇOU"
"RO";110011;"Jaru";;77;78;98,7179487179487;98,7;"ALCANÇOU"
"RO";110012;"Ji-Paraná";;342;350;97,7142857142857;97,7;"ALCANÇOU"
"RO";110013;"Machadinho DOeste";;113;114;99,1228070175439;99,1;"ALCANÇOU"
"RO";110014;"Nova Brasilândia DOeste";;16;16;100;100;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";;39;39;100;100;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";"X";;;;;"NÃO ALCANÇOU"
"RO";110020;"Porto Velho";;976;979;99,6935648621042;99,7;"ALCANÇOU"
"RO";110025;"Presidente Médici";;16;16;100;100;"ALCANÇOU"
"RO";110026;"Rio Crespo";;15;16;93,75;93,8;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";;78;78;100;100;"ALCANÇOU"
"RO";110029;"Santa Luzia DOeste";;1;2;50;50;"NÃO ALCANÇOU"
"RO";110030;"Vilhena";;263;265;99,2452830188679;99,2;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";;6;6;100;100;"ALCANÇOU"
"RO";110033;"Nova Mamoré";;111;112;99,1071428571429;99,1;"ALCANÇOU"
"RO";110034;"Alvorada DOeste";;14;15;93,3333333333333;93,3;"NÃO ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";;3;3;100;100;"ALCANÇOU"
"RO";110040;"Alto Paraíso";;3;3;100;100;"ALCANÇOU"
"RO";110045;"Buritis";;102;102;100;100;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";;2;2;100;100;"ALCANÇOU"
"RO";110060;"Cacaulândia";;12;12;100;100;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";;5;5;100;100;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";;11;12;91,6666666666667;91,7;"NÃO ALCANÇOU"
"RO";110090;"Castanheiras";;3;3;100;100;"ALCANÇOU"
"RO";110092;"Chupinguaia";;15;15;100;100;"ALCANÇOU"
"RO";110094;"Cujubim";;37;37;100;100;"ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";;8;8;100;100;"ALCANÇOU"
"RO";110110;"Itapuã do Oeste";;16;17;94,1176470588235;94,1;"NÃO ALCANÇOU"
"RO";110120;"Ministro Andreazza";;7;7;100;100;"ALCANÇOU"
"RO";110130;"Mirante da Serra";;6;7;85,7142857142857;85,7;"NÃO ALCANÇOU"
"RO";110140;"Monte Negro";;9;9;100;100;"ALCANÇOU"
"RO";110143;"Nova União";;10;10;100;100;"ALCANÇOU"
"RO";110145;"Parecis";;7;7;100;100;"ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";;8;8;100;100;"ALCANÇOU"
"RO";110147;"Primavera de Rondônia";;5;13;38,4615384615385;38,5;"NÃO ALCANÇOU"
"RO";110148;"São Felipe DOeste";;6;7;85,7142857142857;85,7;"NÃO ALCANÇOU"
"RO";110149;"São Francisco do Guaporé";;79;80;98,75;98,8;"ALCANÇOU"
"RO";110150;"Seringueiras";;12;12;100;100;"ALCANÇOU"
"RO";110155;"Teixeirópolis";;2;2;100;100;"ALCANÇOU"
"RO";110160;"Theobroma";;5;5;100;100;"ALCANÇOU"
"RO";110170;"Urupá";;11;12;91,6666666666667;91,7;"NÃO ALCANÇOU"
"RO";110175;"Vale do Anari";;23;23;100;100;"ALCANÇOU"
"RO";110180;"Vale do Paraíso";;9;9;100;100;"ALCANÇOU"
"AC";120001;"Acrelândia";;84;84;100;100;"ALCANÇOU"
"AC";120005;"Assis Brasil";;14;16;87,5;87,5;"NÃO ALCANÇOU"
"AC";120010;"Brasiléia";;70;70;100;100;"ALCANÇOU"
"AC";120013;"Bujari";;3;3;100;100;"ALCANÇOU"
"AC";120017;"Capixaba";;7;7;100;100;"ALCANÇOU"
"AC";120020;"Cruzeiro do Sul";;289;289;100;100;"ALCANÇOU"
"AC";120025;"Epitaciolândia";;5;5;100;100;"ALCANÇOU"
"AC";120030;"Feijó";;34;35;97,1428571428571;97,1;"ALCANÇOU"
"AC";120032;"Jordão";;73;73;100;100;"ALCANÇOU"
"AC";120033;"Mâncio Lima";;55;55;100;100;"ALCANÇOU"
"AC";120034;"Manoel Urbano";;35;35;100;100;"ALCANÇOU"
"AC";120035;"Marechal Thaumaturgo";;42;43;97,6744186046512;97,7;"ALCANÇOU"
"AC";120038;"Plácido de Castro";;38;38;100;100;"ALCANÇOU"
"AC";120039;"Porto Walter";;28;28;100;100;"ALCANÇOU"
"AC";120040;"Rio Branco";;1824;1869;97,5922953451043;97,6;"ALCANÇOU"
"AC";120042;"Rodrigues Alves";;27;27;100;100;"ALCANÇOU"
"AC";120043;"Santa Rosa do Purus";;14;15;93,3333333333333;93,3;"NÃO ALCANÇOU"
"AC";120045;"Senador Guiomard";;79;79;100;100;"ALCANÇOU"
"AC";120050;"Sena Madureira";;66;66;100;100;"ALCANÇOU"
"AC";120060;"Tarauacá";;91;91;100;100;"ALCANÇOU"
"AC";120070;"Xapuri";;75;75;100;100;"ALCANÇOU"
"AC";120080;"Porto Acre";;2;2;100;100;"ALCANÇOU"
"AM";130002;"Alvarães";;34;34;100;100;"ALCANÇOU"
"AM";130006;"Amaturá";;46;46;100;100;"ALCANÇOU"
"AM";130008;"Anamã";;16;16;100;100;"ALCANÇOU"
"AM";130010;"Anori";;9;9;100;100;"ALCANÇOU"
"AM";130014;"Apuí";;46;46;100;100;"ALCANÇOU"
"AM";130020;"Atalaia do Norte";;109;109;100;100;"ALCANÇOU"
"AM";130030;"Autazes";;90;90;100;100;"ALCANÇOU"
"AM";130040;"Barcelos";;155;155;100;100;"ALCANÇOU"
"AM";130050;"Barreirinha";;129;129;100;100;"ALCANÇOU"
"AM";130060;"Benjamin Constant";;155;155;100;100;"ALCANÇOU"
"AM";130063;"Beruri";;45;45;100;100;"ALCANÇOU"
"AM";130068;"Boa Vista do Ramos";;23;23;100;100;"ALCANÇOU"
"AM";130070;"Boca do Acre";;44;44;100;100;"ALCANÇOU"
"AM";130080;"Borba";;125;125;100;100;"ALCANÇOU"
