"UF";"COD_MUN";"NOME_MUN";"META_IND_1";"META_IND_2";"META_IND_3";"META_IND_4";"META_IND_5";"META_IND_6";"META_IND_12";"META_IND_14"
"AC";"120001";"Acrelândia";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120005";"Assis Brasil";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU"
"AC";"120010";"Brasiléia";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120013";"Bujari";"NÃO ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AC";"120017";"Capixaba";"NÃO ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AC";"120020";"Cruzeiro do Sul";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120025";"Epitaciolândia";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120030";"Feijó";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120032";"Jordão";"ALCANÇOU";"ALCANÇOU";;"ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120034";"Manoel Urbano";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120035";"Marechal Thaumaturgo";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120033";"Mâncio Lima";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AC";"120038";"Plácido de Castro";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AC";"120080";"Porto Acre";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
